,x,y
264,0.26,1.2
265,0.26,1.32
266,0.26,1.44
267,0.26,1.56
268,0.26,1.68
269,0.26,1.8
270,0.26,1.92
271,0.26,2.04
272,0.26,2.16
273,0.26,2.28
274,0.26,2.4
275,0.26,2.52
276,0.26,2.64
277,0.26,2.76
278,0.26,2.88
279,0.26,3.0
280,0.26,3.12
281,0.26,3.24
282,0.26,3.36
283,0.26,3.48
284,0.26,3.6
285,0.26,3.72
286,0.26,3.84
287,0.26,3.96
288,0.26,4.08
289,0.26,4.2
290,0.26,4.32
291,0.26,4.44
292,0.26,4.56
293,0.26,4.68
294,0.26,4.8
295,0.26,4.92
296,0.26,5.04
297,0.26,5.16
298,0.26,5.28
299,0.26,5.4
300,0.26,5.52
301,0.26,5.64
302,0.26,5.76
303,0.26,5.88
304,0.26,6.0
305,0.26,6.12
306,0.39,-6.0
307,0.39,-5.88
308,0.39,-5.76
309,0.39,-5.64
310,0.39,-5.52
311,0.39,-5.4
312,0.39,-5.28
313,0.39,-5.16
314,0.39,-5.04
315,0.39,-4.92
316,0.39,-4.8
317,0.39,-4.68
318,0.39,-4.56
319,0.39,-4.44
320,0.39,-4.32
321,0.39,-4.2
322,0.39,-4.08
323,0.39,-3.96
324,0.39,-3.84
325,0.39,-3.72
326,0.39,-3.6
327,0.39,-3.48
328,0.39,-3.36
329,0.39,-3.24
330,0.39,-3.12
331,0.39,-3.0
332,0.39,-2.88
333,0.39,-2.76
334,0.39,-2.64
335,0.39,-2.52
336,0.39,-2.4
337,0.39,-2.28
338,0.39,-2.16
339,0.39,-2.04
340,0.39,-1.92
341,0.39,-1.8
342,0.39,-1.68
343,0.39,-1.56
344,0.39,-1.44
345,0.39,-1.32
346,0.39,-1.2
347,0.39,-1.08
348,0.39,-0.96
349,0.39,-0.84
350,0.39,-0.72
351,0.39,-0.6
352,0.39,-0.48
353,0.39,-0.36
354,0.39,-0.24
355,0.39,-0.12
356,0.39,0.0
357,0.39,0.12
358,0.39,0.24
359,0.39,0.36
360,0.39,0.48
361,0.39,0.6
362,0.39,0.72
363,0.39,0.84
364,0.39,0.96
365,0.39,1.08
366,0.39,1.2
367,0.39,1.32
368,0.39,1.44
369,0.39,1.56
370,0.39,1.68
371,0.39,1.8
372,0.39,1.92
373,0.39,2.04
374,0.39,2.16
375,0.39,2.28
376,0.39,2.4
377,0.39,2.52
378,0.39,2.64
379,0.39,2.76
380,0.39,2.88
381,0.39,3.0
382,0.39,3.12
383,0.39,3.24
384,0.39,3.36
385,0.39,3.48
386,0.39,3.6
