,x,y,DoseRate
0,0.0,-6,5.608821718729538
1,0.13,-6,5.648034551195852
2,0.26,-6,5.691655043328025
3,0.39,-6,5.739531283950826
4,0.52,-6,5.791511361889023
5,0.65,-6,5.847443365967384
6,0.78,-6,5.907175385010676
7,0.91,-6,5.97055550784367
8,1.04,-6,6.037431823291132
9,1.17,-6,6.107652420177831
10,1.3,-6,6.181065387328534
11,1.4300000000000002,-6,6.25751881356801
12,1.56,-6,6.336860787721029
13,1.69,-6,6.4189393986123555
14,1.82,-6,6.50360273506676
15,1.9500000000000002,-6,6.59069888590901
16,2.08,-6,6.680075939963874
17,2.21,-6,6.77158198605612
18,2.34,-6,6.865065113010516
19,2.47,-6,6.96037340965183
20,2.6,-6,7.057354964804831
21,2.73,-6,7.155857867294286
22,2.8600000000000003,-6,7.255730205944965
23,2.99,-6,7.356820069581634
24,3.12,-6,7.458975547029061
25,3.25,-6,7.562044727112016
26,3.38,-6,7.665875698655267
27,3.5100000000000002,-6,7.770316550483582
28,3.64,-6,7.875215371421727
29,3.77,-6,7.980420250294472
30,3.9000000000000004,-6,8.085779275926587
31,4.03,-6,8.191140537142836
32,4.16,-6,8.29635212276799
33,4.29,-6,8.401262121626816
34,4.42,-6,8.505718622544084
35,4.55,-6,8.609569714344559
36,4.68,-6,8.712663485853012
37,4.8100000000000005,-6,8.81484802589421
38,4.94,-6,8.915971423292923
39,5.07,-6,9.015881766873914
40,5.2,-6,9.114427145461956
41,5.33,-6,9.211455647881817
42,5.46,-6,9.306815362958265
43,5.59,-6,9.400354379516065
44,5.720000000000001,-6,9.491920786379987
45,5.8500000000000005,-6,9.5813626723748
46,5.98,-6,9.66852812632527
47,6.11,-6,9.75326523705617
48,6.24,-6,9.83542209339226
49,6.37,-6,9.914846784158318
50,6.5,-6,9.991387398179103
51,6.63,-6,10.064892024279388
52,6.76,-6,10.135208751283944
53,6.890000000000001,-6,10.202185668017535
54,7.0200000000000005,-6,10.265670863304926
55,7.15,-6,10.325512425970892
56,7.28,-6,10.381558444840199
57,7.41,-6,10.43365700873761
58,7.54,-6,10.4816562064879
59,7.67,-6,10.525404126915834
60,7.800000000000001,-6,10.564748858846183
61,7.930000000000001,-6,10.599538491103711
62,8.06,-6,10.629621112513188
63,8.19,-6,10.654844811899384
64,8.32,-6,10.675057678087065
65,8.450000000000001,-6,10.690107799900996
66,8.58,-6,10.699843266165951
67,8.71,-6,10.704112165706697
68,8.84,-6,10.702762587348001
69,8.97,-6,10.69564261991463
70,9.1,-6,10.68260035223135
71,9.23,-6,10.663483873122939
72,9.36,-6,10.638141271414156
73,9.49,-6,10.60642063592977
74,9.620000000000001,-6,10.568170055494551
75,9.75,-6,10.523237618933269
76,9.88,-6,10.471471415070688
77,10.01,-6,10.412719532731582
78,10.14,-6,10.346830060740714
79,10.27,-6,10.273651087922854
80,10.4,-6,10.193030703102767
81,10.530000000000001,-6,10.104816995105228
82,10.66,-6,10.008858052755002
83,10.790000000000001,-6,9.905001964876853
84,10.92,-6,9.793096820295556
85,11.05,-6,9.672990707835869
86,11.18,-6,9.544531716322574
87,11.31,-6,9.407567934580424
88,11.440000000000001,-6,9.261947451434203
89,11.57,-6,9.10751835570867
90,11.700000000000001,-6,8.944128736228592
91,11.83,-6,8.771626681818741
92,11.96,-6,8.589860281303885
93,12.09,-6,8.398677623508789
94,12.22,-6,8.197926797258226
95,12.35,-6,7.987455891376958
96,12.48,-6,7.767112994689758
97,12.610000000000001,-6,7.536746196021391
98,12.74,-6,7.29620358419663
99,12.870000000000001,-6,7.04533324804023
100,0.0,0,5.456134360956846
101,0.13,0,5.521609347143675
102,0.26,0,5.586689112613687
103,0.39,0,5.6513507227003075
104,0.52,0,5.715571242736962
105,0.65,0,5.779327738057076
106,0.78,0,5.842597273994078
107,0.91,0,5.9053569158813914
108,1.04,0,5.967583729052444
109,1.17,0,6.029254778840659
110,1.3,0,6.090347130579465
111,1.4300000000000002,0,6.150837849602287
112,1.56,0,6.210704001242551
113,1.69,0,6.269922650833682
114,1.82,0,6.328470863709107
115,1.9500000000000002,0,6.386325705202252
116,2.08,0,6.443464240646543
117,2.21,0,6.499863535375406
118,2.34,0,6.555500654722264
119,2.47,0,6.610352664020548
120,2.6,0,6.664396628603679
121,2.73,0,6.717609613805087
122,2.8600000000000003,0,6.769968684958196
123,2.99,0,6.821450907396432
124,3.12,0,6.87203334645322
125,3.25,0,6.921693067461987
126,3.38,0,6.97040713575616
127,3.5100000000000002,0,7.018152616669164
128,3.64,0,7.064906575534424
129,3.77,0,7.110646077685367
130,3.9000000000000004,0,7.1553481884554175
131,4.03,0,7.198989973178003
132,4.16,0,7.24154849718655
133,4.29,0,7.283000825814482
134,4.42,0,7.323324024395227
135,4.55,0,7.36249515826221
136,4.68,0,7.400491292748857
137,4.8100000000000005,0,7.437289493188594
138,4.94,0,7.472866824914847
139,5.07,0,7.507200353261043
140,5.2,0,7.540267143560605
141,5.33,0,7.572044261146962
142,5.46,0,7.602508771353538
143,5.59,0,7.63163773951376
144,5.720000000000001,0,7.659408230961054
145,5.8500000000000005,0,7.6857973110288444
146,5.98,0,7.710782045050559
147,6.11,0,7.734339498359623
148,6.24,0,7.756446736289463
149,6.37,0,7.7770808241735025
150,6.5,0,7.79621882734517
151,6.63,0,7.8138378111378906
152,6.76,0,7.82991484088509
153,6.890000000000001,0,7.8444269819201935
154,7.0200000000000005,0,7.857351299576629
155,7.15,0,7.86866485918782
156,7.28,0,7.878344726087195
157,7.41,0,7.886367965608178
158,7.54,0,7.892711643084196
159,7.67,0,7.897352823848674
160,7.800000000000001,0,7.900268573235039
161,7.930000000000001,0,7.901435956576715
162,8.06,0,7.900832039207129
163,8.19,0,7.898433886459709
164,8.32,0,7.894218563667879
165,8.450000000000001,0,7.888163136165063
166,8.58,0,7.880244669284691
167,8.71,0,7.870440228360186
168,8.84,0,7.858726878724975
169,8.97,0,7.845081685712483
170,9.1,0,7.829481714656138
171,9.23,0,7.811904030889364
172,9.36,0,7.792325699745587
173,9.49,0,7.770723786558234
174,9.620000000000001,0,7.74707535666073
175,9.75,0,7.721357475386501
176,9.88,0,7.693547208068974
177,10.01,0,7.6636216200415745
178,10.14,0,7.631557776637727
179,10.27,0,7.597332743190858
180,10.4,0,7.560923585034395
181,10.530000000000001,0,7.522307367501763
182,10.66,0,7.481461155926388
183,10.790000000000001,0,7.438362015641694
184,10.92,0,7.392987011981111
185,11.05,0,7.34531321027806
186,11.18,0,7.295317675865971
187,11.31,0,7.242977474078268
188,11.440000000000001,0,7.188269670248378
189,11.57,0,7.131171329709726
190,11.700000000000001,0,7.071659517795738
191,11.83,0,7.009711299839839
192,11.96,0,6.945303741175458
193,12.09,0,6.878413907136018
194,12.22,0,6.809018863054946
195,12.35,0,6.737095674265669
196,12.48,0,6.662621406101611
197,12.610000000000001,0,6.5855731238961965
198,12.74,0,6.505927892982856
199,12.870000000000001,0,6.423662778695012
200,0.0,6,5.608821718729538
201,0.13,6,5.648034551195852
202,0.26,6,5.691655043328025
203,0.39,6,5.739531283950826
204,0.52,6,5.791511361889023
205,0.65,6,5.847443365967384
206,0.78,6,5.907175385010676
207,0.91,6,5.97055550784367
208,1.04,6,6.037431823291132
209,1.17,6,6.107652420177831
210,1.3,6,6.181065387328534
211,1.4300000000000002,6,6.25751881356801
212,1.56,6,6.336860787721029
213,1.69,6,6.4189393986123555
214,1.82,6,6.50360273506676
215,1.9500000000000002,6,6.59069888590901
216,2.08,6,6.680075939963874
217,2.21,6,6.77158198605612
218,2.34,6,6.865065113010516
219,2.47,6,6.96037340965183
220,2.6,6,7.057354964804831
221,2.73,6,7.155857867294286
222,2.8600000000000003,6,7.255730205944965
223,2.99,6,7.356820069581634
224,3.12,6,7.458975547029061
225,3.25,6,7.562044727112016
226,3.38,6,7.665875698655267
227,3.5100000000000002,6,7.770316550483582
228,3.64,6,7.875215371421727
229,3.77,6,7.980420250294472
230,3.9000000000000004,6,8.085779275926587
231,4.03,6,8.191140537142836
232,4.16,6,8.29635212276799
233,4.29,6,8.401262121626816
234,4.42,6,8.505718622544084
235,4.55,6,8.609569714344559
